code,ticker,earnings_date,period_type,sales,operating_profit,net_profit,eps,dps,reported_eps,eps_estimate,surprise_pct,source,sales_yoy,operating_profit_yoy,net_profit_yoy,eps_yoy
1820,1820.T,2015-08-06 20:00:00,quarterly,,,,37.4,,37.4,4.51,729.27,yfinance,,,,-23.04526748971194
1882,1882.T,2015-08-06 20:00:00,quarterly,,,,-3.61,,-3.61,-14.61,75.3,yfinance,,,,-107.10909807010634
2108,2108.T,2015-08-09 20:00:00,quarterly,,,,27.5,,27.5,42.79,-35.73,yfinance,,,,-43.18181818181818
1963,1963.T,2015-08-10 20:00:00,quarterly,,,,37.62,,37.62,44.12,-14.74,yfinance,,,,145.35809018567642
1762,1762.T,2015-08-10 20:00:00,quarterly,,,,16.67,,16.67,8.23,102.63,yfinance,,,,-82.58462181362306
1822,1822.T,2015-08-10 20:00:00,quarterly,,,,6.27,,6.27,-1.83,442.06,yfinance,,,,-66.86046511627907
2121,2121.T,2015-08-12 20:00:00,quarterly,,,,197.97,,197.97,167.35,18.3,yfinance,,,,15.018591680223095
1873,1873.T,2015-09-06 20:00:00,quarterly,,,,13.91,,13.91,36.06,-61.43,yfinance,,,,180.31177829099306
1766,1766.T,2015-09-10 20:00:00,quarterly,,,,150.48,,150.48,115.45,30.34,yfinance,,,,19.38119793732645
1377,1377.T,2015-10-08 20:00:00,quarterly,,,,55.77,,55.77,36.75,51.75,yfinance,,,,151.10310670868978
2157,2157.T,2015-10-12 20:00:00,quarterly,,,,4.39,,4.39,4.51,-2.57,yfinance,,,,-33.18112633181127
2211,2211.T,2015-10-26 20:00:00,quarterly,,,,-27.5,,-27.5,-19.32,-42.34,yfinance,,,,-2600.0
2121,2121.T,2015-11-05 19:00:00,quarterly,,,,149.26,,149.26,115.6,29.12,yfinance,,,,-24.60473809163005
2461,2461.T,2015-11-08 19:00:00,quarterly,,,,13.42,,13.42,14.1,-4.82,yfinance,,,,10.634789777411369
2305,2305.T,2015-11-09 19:00:00,quarterly,,,,16.64,,16.64,16.96,-1.89,yfinance,,,,137.30941704035874
1833,1833.T,2015-11-09 19:00:00,quarterly,,,,40.35,,40.35,37.67,7.11,yfinance,,,,-33.02904564315352
